"image_id","left_wing (mm)","right_wing (mm)","left_wing_center (mm)","right_wing_center (mm)","wing_span (mm)","wing_shoulder (mm)","image_path","view","specimen_id","stage","segmenter","pixels_per_mm","status","error"
"IMG_1561.JPG",40.36,41.86,49.31,48.74,76.95,5.25,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1561.JPG","ventral","1145809","measurements","unet",30.711111111111112,"ok",""
"IMG_1562.JPG",38.66,38.48,47.51,47.88,70.31,5.29,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1562.JPG","dorsal","1145810","measurements","unet",31.056179775280903,"ok",""
"IMG_1563.JPG",37.97,34.95,45.6,44.39,67.35,3.2,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1563.JPG","ventral","1145810","measurements","unet",30.655555555555555,"ok",""
"IMG_1564.JPG",40.81,38.23,47.32,46.08,71.94,2.18,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1564.JPG","dorsal","1145811","measurements","unet",31.056179775280903,"ok",""
"IMG_1565.JPG",39.28,37.37,45.98,46.07,71.39,2.97,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1565.JPG","ventral","1145811","measurements","unet",30.711111111111112,"ok",""
"IMG_1566.JPG",46.29,46.17,56.04,55.25,86.78,5.73,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1566.JPG","dorsal","1145812","measurements","unet",31.056179775280903,"ok",""
"IMG_1567.JPG",44.42,45.62,53.94,54.34,84.7,5.64,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1567.JPG","ventral","1145812","measurements","unet",30.711111111111112,"ok",""
"IMG_1568.JPG",48.39,49.12,58.06,57.37,89.5,3.83,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1568.JPG","dorsal","1145813","measurements","unet",31.056179775280903,"ok",""
"IMG_1569.JPG",47.45,46.57,55.02,54.98,86.81,3.92,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1569.JPG","ventral","1145813","measurements","unet",30.711111111111112,"ok",""
"IMG_1570.JPG",41.34,13.31,22.55,28.73,50.73,4.46,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1570.JPG","dorsal","1145814","measurements","unet",31.056179775280903,"ok",""
"IMG_1571.JPG",10.96,43.47,27.88,22.45,49.71,1.83,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1571.JPG","ventral","1145814","measurements","unet",30.711111111111112,"invalid","wing asymmetry too large: 32.51 mm"
"IMG_1572.JPG",14.18,5.54,29.15,23.44,47.98,31.08,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1572.JPG","dorsal","1145815","measurements","unet",31.056179775280903,"ok",""
"IMG_1573.JPG",0.03,22.0,24.93,32.08,46.33,24.7,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1573.JPG","ventral","1145815","measurements","unet",30.711111111111112,"invalid","left_wing outside range: 0.03"
"IMG_1574.JPG",9.13,24.71,33.17,43.58,58.97,31.02,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1574.JPG","dorsal","1144816","measurements","unet",31.056179775280903,"ok",""
"IMG_1575.JPG",23.93,8.06,41.72,31.87,57.05,29.35,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1575.JPG","ventral","1144816","measurements","unet",30.611111111111114,"ok",""
"IMG_1579.JPG",41.05,40.9,50.33,50.83,73.3,3.96,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1579.JPG","dorsal","1145789","measurements","unet",30.711111111111112,"ok",""
"IMG_1580.JPG",40.04,38.71,50.51,49.55,71.12,5.34,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1580.JPG","ventral","1145789","measurements","unet",30.711111111111112,"ok",""
"IMG_1581.JPG",39.84,41.22,48.43,48.75,75.45,5.22,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1581.JPG","dorsal","1145817","measurements","unet",31.056179775280903,"ok",""
"IMG_1582.JPG",40.73,40.18,48.77,48.07,75.07,5.43,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1582.JPG","ventral","1145817","measurements","unet",30.711111111111112,"ok",""
